Pas	Proportion
961	0.67460
962	0.67480
963	0.67480
964	0.67480
965	0.67480
966	0.67490
967	0.67490
968	0.67520
969	0.67520
970	0.67520
971	0.67520
972	0.67520
973	0.67520
974	0.67520
975	0.67520
976	0.67550
977	0.67550
978	0.67550
979	0.67550
980	0.67570
981	0.67570
982	0.67600
983	0.67600
984	0.67600
985	0.67600
986	0.67610
987	0.67610
988	0.67630
989	0.67630
990	0.67630
991	0.67630
992	0.67630
993	0.67630
994	0.67630
995	0.67630
996	0.67640
997	0.67640
998	0.67640
999	0.67640
1000	0.67660
1001	0.67660
1002	0.67670
1003	0.67670
1004	0.67670
1005	0.67670
1006	0.67670
1007	0.67670
1008	0.67690
1009	0.67690
1010	0.67710
1011	0.67710
1012	0.67720
1013	0.67720
1014	0.67730
1015	0.67730
1016	0.67740
1017	0.67740
1018	0.67750
1019	0.67750
1020	0.67760
1021	0.67760
1022	0.67760
1023	0.67760
1024	0.67760
1025	0.67760
1026	0.67770
1027	0.67770
1028	0.67780
1029	0.67780
1030	0.67780
1031	0.67780
1032	0.67790
1033	0.67790
1034	0.67800
1035	0.67800
1036	0.67800
1037	0.67800
1038	0.67820
1039	0.67820
1040	0.67820
1041	0.67820
1042	0.67830
1043	0.67830
1044	0.67840
1045	0.67840
1046	0.67840
1047	0.67840
1048	0.67840
1049	0.67840
1050	0.67850
1051	0.67850
1052	0.67850
1053	0.67850
1054	0.67850
1055	0.67850
1056	0.67860
1057	0.67860
1058	0.67860
1059	0.67860
1060	0.67860
1061	0.67860
1062	0.67860
1063	0.67860
1064	0.67870
1065	0.67870
1066	0.67870
1067	0.67870
1068	0.67890
1069	0.67890
1070	0.67890
1071	0.67890
1072	0.67900
1073	0.67900
1074	0.67900
1075	0.67900
1076	0.67900
1077	0.67900
1078	0.67900
1079	0.67900
1080	0.67900
1081	0.67900
1082	0.67900
1083	0.67900
1084	0.67920
1085	0.67920
1086	0.67920
1087	0.67920
1088	0.67920
1089	0.67920
1090	0.67920
1091	0.67920
1092	0.67920
1093	0.67920
1094	0.67920
1095	0.67920
1096	0.67920
1097	0.67920
1098	0.67930
1099	0.67930
1100	0.67930
1101	0.67930
1102	0.67930
1103	0.67930
1104	0.67960
1105	0.67960
1106	0.67970
1107	0.67970
1108	0.67990
1109	0.67990
1110	0.68000
1111	0.68000
1112	0.68000
1113	0.68000
1114	0.68000
1115	0.68000
1116	0.68010
1117	0.68010
1118	0.68030
1119	0.68030
1120	0.68050
1121	0.68050
1122	0.68060
1123	0.68060
1124	0.68060
1125	0.68060
1126	0.68070
1127	0.68070
1128	0.68080
1129	0.68080
1130	0.68080
1131	0.68080
1132	0.68080
1133	0.68080
1134	0.68090
1135	0.68090
1136	0.68090
1137	0.68090
1138	0.68090
1139	0.68090
1140	0.68090
1141	0.68090
