n	Experimental	Theoretical
718	43.00300	42.75947
719	42.01700	42.78923
720	42.94800	42.81898
721	42.71800	42.84870
722	42.98500	42.87841
723	43.20600	42.90809
724	42.68500	42.93776
725	42.52600	42.96740
726	43.03900	42.99702
727	43.59800	43.02662
728	43.29100	43.05620
729	43.65000	43.08577
730	42.85600	43.11531
731	43.40400	43.14483
732	43.32700	43.17433
733	44.02500	43.20381
734	43.52600	43.23327
735	43.54000	43.26271
736	42.90100	43.29213
737	42.88700	43.32153
738	43.02800	43.35091
739	43.12000	43.38027
740	43.41800	43.40961
741	43.34000	43.43893
742	42.98100	43.46824
743	42.96000	43.49752
744	43.77200	43.52678
745	43.29400	43.55602
746	44.02900	43.58524
747	43.52200	43.61445
748	42.96300	43.64363
749	43.76600	43.67279
750	43.75300	43.70194
751	44.48100	43.73106
752	44.13100	43.76017
753	43.89900	43.78925
754	43.40500	43.81832
755	43.49400	43.84737
756	43.88900	43.87640
757	43.16600	43.90541
758	44.83800	43.93440
759	43.85900	43.96337
760	44.03900	43.99232
761	44.13900	44.02125
762	43.55800	44.05017
763	43.93800	44.07906
764	45.01700	44.10794
765	44.35900	44.13679
766	44.73500	44.16563
767	44.57800	44.19445
768	44.05700	44.22325
769	44.28000	44.25203
770	44.19700	44.28080
771	44.05800	44.30954
772	44.16700	44.33827
773	44.08700	44.36697
774	44.84600	44.39566
775	43.61300	44.42433
776	44.55700	44.45298
777	44.31100	44.48162
778	44.43200	44.51023
779	45.06000	44.53883
780	44.91500	44.56741
781	44.71400	44.59597
782	45.26300	44.62451
783	44.90300	44.65303
784	45.06100	44.68154
785	43.94900	44.71002
786	45.05000	44.73849
787	44.63700	44.76694
788	44.94400	44.79537
789	44.73600	44.82379
790	44.70100	44.85218
791	45.27400	44.88056
792	44.77200	44.90892
793	45.37300	44.93727
794	44.49100	44.96559
795	45.02400	44.99390
796	45.13000	45.02219
797	45.09500	45.05046
798	45.51900	45.07871
799	45.89200	45.10695
800	45.28900	45.13517
801	45.98200	45.16337
802	45.01900	45.19155
803	45.26200	45.21972
804	45.97500	45.24786
805	45.35000	45.27599
806	45.64100	45.30411
807	45.32200	45.33220
808	44.96800	45.36028
809	46.01100	45.38834
810	44.53800	45.41639
811	45.29400	45.44441
812	44.81000	45.47242
813	44.62200	45.50041
814	45.66600	45.52839
815	45.18900	45.55634
816	45.39400	45.58428
817	45.45300	45.61221
818	44.92000	45.64011
819	45.47000	45.66800
820	45.44500	45.69587
821	46.44200	45.72373
822	45.37300	45.75157
823	45.98700	45.77939
824	46.09700	45.80719
825	45.50200	45.83498
826	44.97500	45.86275
827	45.78000	45.89050
828	45.91400	45.91824
829	46.12900	45.94596
830	46.05600	45.97366
831	45.99900	46.00135
832	46.25200	46.02902
833	46.07500	46.05667
834	46.00500	46.08431
835	47.07600	46.11193
836	45.80600	46.13953
837	46.38300	46.16712
838	46.31300	46.19469
839	46.36800	46.22225
840	46.17100	46.24978
841	45.62400	46.27730
842	46.04900	46.30481
843	46.21200	46.33230
844	46.27300	46.35977
845	46.52100	46.38723
846	47.21300	46.41467
847	47.11300	46.44209
848	45.93000	46.46950
849	46.74800	46.49689
850	46.83500	46.52426
851	46.27600	46.55162
852	47.25400	46.57897
853	46.76000	46.60629
854	46.12900	46.63361
855	46.42200	46.66090
856	46.28200	46.68818
857	46.86300	46.71544
858	46.67400	46.74269
859	46.89200	46.76992
860	46.97100	46.79714
861	46.64600	46.82434
862	47.03500	46.85152
863	46.86300	46.87869
864	47.25900	46.90584
865	46.49800	46.93298
866	46.29200	46.96010
867	47.72700	46.98720
868	47.31400	47.01429
869	46.82000	47.04137
870	46.54800	47.06843
871	46.89200	47.09547
872	47.03100	47.12250
873	46.28600	47.14951
874	47.45200	47.17651
875	47.83800	47.20349
876	47.10000	47.23045
877	46.91700	47.25740
878	47.10300	47.28434
879	47.46600	47.31126
880	47.71900	47.33816
881	46.97100	47.36505
882	47.28600	47.39193
883	46.85700	47.41878
