Pas	Experimental	Theoretical
803	299.19000	321.20000
804	301.56300	321.60000
805	301.44300	322.00000
806	299.64900	322.40000
807	300.13400	322.80000
808	302.11300	323.20000
809	301.82800	323.60000
810	299.98500	324.00000
811	301.36000	324.40000
812	304.43300	324.80000
813	301.52800	325.20000
814	302.29500	325.60000
815	304.46100	326.00000
816	303.71200	326.40000
817	305.01600	326.80000
818	305.03600	327.20000
819	305.06800	327.60000
820	304.60000	328.00000
821	307.95600	328.40000
822	303.81200	328.80000
823	305.85800	329.20000
824	307.04300	329.60000
825	307.02800	330.00000
826	307.19000	330.40000
827	308.13700	330.80000
828	306.90800	331.20000
829	308.98700	331.60000
830	310.32600	332.00000
831	309.23200	332.40000
832	308.76500	332.80000
833	308.09400	333.20000
834	310.73800	333.60000
835	309.46600	334.00000
836	310.79600	334.40000
837	311.94500	334.80000
838	311.90700	335.20000
839	312.38400	335.60000
840	313.18900	336.00000
841	310.62400	336.40000
842	313.34100	336.80000
843	312.85000	337.20000
844	314.54200	337.60000
845	313.97600	338.00000
846	311.57100	338.40000
847	314.90100	338.80000
848	314.94400	339.20000
849	313.95500	339.60000
850	314.17400	340.00000
851	315.02200	340.40000
852	316.44200	340.80000
853	319.69600	341.20000
854	318.40800	341.60000
855	314.50300	342.00000
856	316.23300	342.40000
857	317.65800	342.80000
858	315.85600	343.20000
859	316.76000	343.60000
860	320.71300	344.00000
861	316.72100	344.40000
862	318.00900	344.80000
863	319.47500	345.20000
864	318.43300	345.60000
865	320.06400	346.00000
866	320.96300	346.40000
867	322.34500	346.80000
868	319.22600	347.20000
869	320.59700	347.60000
870	319.62700	348.00000
871	322.04900	348.40000
872	323.26000	348.80000
873	321.86700	349.20000
874	323.97600	349.60000
875	324.22000	350.00000
876	323.03800	350.40000
877	322.58800	350.80000
878	322.97600	351.20000
879	326.57300	351.60000
880	324.09000	352.00000
881	326.39900	352.40000
882	326.09200	352.80000
883	324.90800	353.20000
884	324.60800	353.60000
885	326.17600	354.00000
886	329.28900	354.40000
887	327.93600	354.80000
888	327.94200	355.20000
889	323.92700	355.60000
890	329.36400	356.00000
891	328.50700	356.40000
892	330.62600	356.80000
893	331.20800	357.20000
894	329.00000	357.60000
895	328.21700	358.00000
896	329.36200	358.40000
897	331.82700	358.80000
898	331.78800	359.20000
899	330.45500	359.60000
900	333.26100	360.00000
901	332.18000	360.40000
902	330.90700	360.80000
903	332.92200	361.20000
904	332.63900	361.60000
905	332.62200	362.00000
906	334.72500	362.40000
907	336.43100	362.80000
908	333.27100	363.20000
909	335.14900	363.60000
910	334.72000	364.00000
911	334.33800	364.40000
912	335.33800	364.80000
913	335.96200	365.20000
914	334.84400	365.60000
915	334.27200	366.00000
916	337.32900	366.40000
917	336.97200	366.80000
918	336.94300	367.20000
919	336.79800	367.60000
920	337.52700	368.00000
921	338.22300	368.40000
922	337.58000	368.80000
923	340.57800	369.20000
924	337.18600	369.60000
925	340.68400	370.00000
926	341.02800	370.40000
927	342.13900	370.80000
928	337.93300	371.20000
929	340.11000	371.60000
930	342.26200	372.00000
931	340.04000	372.40000
932	343.45600	372.80000
933	341.96300	373.20000
934	342.17400	373.60000
935	341.92500	374.00000
936	340.17000	374.40000
937	344.40200	374.80000
938	344.02700	375.20000
939	341.89500	375.60000
940	344.99100	376.00000
941	346.19700	376.40000
942	345.84100	376.80000
943	343.82300	377.20000
944	345.97700	377.60000
945	343.13700	378.00000
946	345.22200	378.40000
947	346.20300	378.80000
948	345.85500	379.20000
949	347.43500	379.60000
950	346.16100	380.00000
951	343.93100	380.40000
952	347.06100	380.80000
953	348.41500	381.20000
954	349.25600	381.60000
955	350.30800	382.00000
956	350.15400	382.40000
957	350.40800	382.80000
958	350.22300	383.20000
959	348.86600	383.60000
960	350.18500	384.00000
961	349.85600	384.40000
962	353.53000	384.80000
963	353.51100	385.20000
964	349.78000	385.60000
965	353.14300	386.00000
966	354.47000	386.40000
967	352.87000	386.80000
968	354.10700	387.20000
969	354.65400	387.60000
970	355.56300	388.00000
971	354.89300	388.40000
972	353.36200	388.80000
973	355.15800	389.20000
974	357.64000	389.60000
975	353.10100	390.00000
976	356.70200	390.40000
977	357.52400	390.80000
978	354.60400	391.20000
979	352.97900	391.60000
980	355.49500	392.00000
981	355.71700	392.40000
982	357.16200	392.80000
983	359.51100	393.20000
984	355.61000	393.60000
985	363.43100	394.00000
986	358.45100	394.40000
987	358.28000	394.80000
988	359.82100	395.20000
989	360.68600	395.60000
990	360.25000	396.00000
991	362.86900	396.40000
992	362.54900	396.80000
993	360.53800	397.20000
994	360.71200	397.60000
995	361.07500	398.00000
996	363.75600	398.40000
997	362.55800	398.80000
998	363.31800	399.20000
999	361.17200	399.60000
1000	362.83000	400.00000
